Abbreviation,Name,Formula (neutral),Formula (Charged),Charge,Compartment,KEGG ID,PubChemID,CheBI ID,Inchi String,Smiles
cpd15524[c],"1,2-dihexadecanoyl-sn-glycerol_3-phosphate",,C35H68O8P,-1,,,,,,
cpd15419[c],"CDP-1,2-dihexadecanoylglycerol",,C44H79N3O15P2,-2,,,,,,
cpd15555[c],phosphatidylserine_dihexadecanoyl,,C38H72NO10P,-2,,,,,,
cpd15531[c],phosphatidylethanolamine_dihexadecanoyl,,C37H74NO8P,0,,,,,,
cpd15326[c],1-hexadec-9-enoyl-sn-glycerol_3-phosphate,,C19H36O7P,-1,,,,,,
cpd15525[c],"1,2-dihexadec-9-enoyl-sn-glycerol_3-phosphate",,C35H64O8P,-1,,,,,,
cpd15418[c],"CDP-1,2-dihexadec-9-enoylglycerol",,C44H75N3O15P2,-2,,,,,,
cpd15556[c],phosphatidylserine_dihexadec-9-enoyl,,C38H68NO10P,-2,,,,,,
cpd15532[c],phosphatidylethanolamine_dihexadec-9enoyl,,C37H70NO8P,0,,,,,,
cpd15568[c],trans-3-cis-11-vacceoyl-[acyl-carrier protein],,C29H51N2O8PRS,-1,,,,,,
cpd11825[c],Octadecenoyl-ACP,,C29H53N2O8PRS,-1,,C01203,,,,
cpd15370[c],(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein],,C29H53N2O9PRS,-1,,,,,,
cpd15376[c],3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein],,C29H51N2O9PRS,-1,,,,,,
cpd15328[c],1-octadec-11-enoyl-sn-glycerol_3-phosphate,,C21H40O7P,-1,,,,,,
cpd15527[c],"1,2-dioctadec-11-enoyl-sn-glycerol_3-phosphate",,C39H72O8P,-1,,,,,,
cpd15420[c],"CDP-1,2-dioctadec-11-enoylglycerol",,C48H83N3O15P2,-2,,,,,,
cpd15558[c],phosphatidylserine_dioctadec-11-enoyl,,C42H76NO10P,-2,,,,,,
cpd15534[c],phosphatidylethanolamine_dioctadec-11-enoyl,,C41H78NO8P,0,,,,,,
cpd03123[c],3-Oxohexanoyl-CoA,,C27H41N7O18P3S,-3,,C05269,,,,
cpd00214[c],Palmitate,,C16H31O2,-1,,C00249,,,,
cpd00842[c],(S)-3-Hydroxybutyryl-CoA,,C25H39N7O18P3S,-3,,C01144,,,,
cpd01335[c],Octanoyl-CoA,,C29H47N7O17P3S,-3,,C01944,,,,
cpd03119[c],3-Oxodecanoyl-CoA,,C31H49N7O18P3S,-3,,C05265,,,,
cpd03114[c],3-Oxopalmitoyl-CoA,,C37H61N7O18P3S,-3,,C05259,,,,
cpd03116[c],(S)-3-Hydroxydodecanoyl-CoA,,C33H55N7O18P3S,-3,,C05262,,,,
cpd02060[c],(2E)-Dodecenoyl-CoA,,C33H53N7O17P3S,-3,,C03221,,,,
cpd03113[c],(S)-3-Hydroxyhexadecanoyl-CoA,,C37H63N7O18P3S,-3,,C05258,,,,
cpd03126[c],(2E)-Hexadecenoyl-CoA,,C37H61N7O17P3S,-3,,C05272,,,,
cpd03115[c],(S)-3-Hydroxytetradecanoyl-CoA,,C35H59N7O18P3S,-3,,C05260,,,,
cpd03127[c],(2E)-Tetradecenoyl-CoA,,C35H57N7O17P3S,-3,,C05273,,,,
cpd03117[c],3-Oxododecanoyl-CoA,,C33H53N7O18P3S,-3,,C05263,,,,
cpd03128[c],Decanoyl-CoA,,C31H51N7O17P3S,-3,,C05274,,,,
cpd03129[c],(2E)-Decenoyl-CoA,,C31H49N7O17P3S,-3,,C05275,,,,
cpd03120[c],(S)-Hydroxyoctanoyl-CoA,,C29H47N7O18P3S,-3,,C05266,,,,
cpd03121[c],3-Oxooctanoyl-CoA,,C29H45N7O18P3S,-3,,C05267,,,,
cpd03130[c],(2E)-Octenoyl-CoA,,C29H45N7O17P3S,-3,,C05276,,,,
cpd03124[c],Hexanoyl-CoA,,C27H43N7O17P3S,-3,,C05270,,,,
cpd03122[c],(S)-Hydroxyhexanoyl-CoA,,C27H43N7O18P3S,-3,,C05268,,,,
cpd03125[c],(2E)-Hexenoyl-CoA,,C27H41N7O17P3S,-3,,C05271,,,,
cpd11430[c],fa1,,C14H27O2,-1,,,,,,
cpd11435[c],fa1coa,,C35H59N7O17P3S,-3,,,,,,
cpd11438[c],fa4,,C15H29O2,-1,,,,,,
cpd11439[c],fa4coa,,C36H61N7O17P3S,-3,,,,,,
cpd11436[c],fa3,,C15H29O2,-1,,,,,,
cpd11437[c],fa3coa,,C36H61N7O17P3S,-3,,,,,,
cpd11440[c],fa6,,C16H31O2,-1,,,,,,
cpd11441[c],fa6coa,,C37H63N7O17P3S,-3,,,,,,
cpd11433[c],fa12,,C17H33O2,-1,,,,,,
cpd11434[c],fa12coa,,C38H65N7O17P3S,-3,,,,,,
cpd11431[c],fa11,,C17H33O2,-1,,,,,,
cpd11432[c],fa11coa,,C38H65N7O17P3S,-3,,,,,,
cpd11495[c],2-methylbutyryl-ACP,,C16H29N2O8PRS,-1,,,,,,
cpd11496[c],4-methyl-3-oxo-hexanoyl-ACP,,C18H31N2O9PRS,-1,,,,,,
cpd11497[c],4-methyl-3-hydroxy-hexanoyl-ACP,,C18H33N2O9PRS,-1,,,,,,
cpd11498[c],4-methyl-trans-hex-2-enoyl-ACP,,C18H31N2O8PRS,-1,,,,,,
cpd11499[c],4-methyl-hexanoyl-ACP,,C18H33N2O8PRS,-1,,,,,,
cpd11500[c],6-methyl-3-oxo-octanoyl-ACP,,C20H35N2O9PRS,-1,,,,,,
cpd11501[c],6-methyl-3-hydroxy-octanoyl-ACP,,C20H37N2O9PRS,-1,,,,,,
cpd11502[c],6-methyl-trans-oct-2-enoyl-ACP,,C20H35N2O8PRS,-1,,,,,,
cpd11503[c],6-methyl-octanoyl-ACP,,C20H37N2O8PRS,-1,,,,,,
cpd11504[c],8-methyl-3-oxo-decanoyl-ACP,,C22H39N2O9PRS,-1,,,,,,
cpd11505[c],8-methyl-3-hydroxy-decanoyl-ACP,,C22H41N2O9PRS,-1,,,,,,
cpd11506[c],8-methyl-trans-dec-2-enoyl-ACP,,C22H39N2O8PRS,-1,,,,,,
cpd11507[c],8-methyl-decanoyl-ACP,,C22H41N2O8PRS,-1,,,,,,
cpd11508[c],10-methyl-3-oxo-dodecanoyl-ACP,,C24H43N2O9PRS,-1,,,,,,
cpd11509[c],10-methyl-3-hydroxy-dodecanoyl-ACP,,C24H45N2O9PRS,-1,,,,,,
cpd11510[c],10-methyl-trans-dodec-2-enoyl-ACP,,C24H43N2O8PRS,-1,,,,,,
cpd11511[c],10-methyl-dodecanoyl-ACP,,C24H45N2O8PRS,-1,,,,,,
cpd11512[c],12-methyl-3-oxo-tetra-decanoyl-ACP,,C26H47N2O9PRS,-1,,,,,,
cpd11513[c],12-methyl-3-hydroxy-tetra-decanoyl-ACP,,C26H49N2O9PRS,-1,,,,,,
cpd11514[c],12-methyl-trans-tetra-dec-2-enoyl-ACP,,C26H47N2O8PRS,-1,,,,,,
cpd11515[c],12-methyl-tetra-decanoyl-ACP,,C26H49N2O8PRS,-1,,,,,,
cpd11516[c],14-methyl-3-oxo-hexa-decanoyl-ACP,,C28H51N2O9PRS,-1,,,,,,
cpd11517[c],14-methyl-3-hydroxy-hexa-decanoyl-ACP,,C28H53N2O9PRS,-1,,,,,,
cpd11518[c],14-methyl-trans-hexa-dec-2-enoyl-ACP,,C28H51N2O8PRS,-1,,,,,,
cpd11520[c],isovaleryl-ACP,,C16H29N2O8PRS,-1,,,,,,
cpd11521[c],5-methyl-3-oxo-hexanoyl-ACP,,C18H31N2O9PRS,-1,,,,,,
cpd11522[c],5-methyl-3-hydroxy-hexanoyl-ACP,,C18H33N2O9PRS,-1,,,,,,
cpd11523[c],5-methyl-trans-hex-2-enoyl-ACP,,C18H31N2O8PRS,-1,,,,,,
cpd11524[c],5-methyl-hexanoyl-ACP,,C18H33N2O8PRS,-1,,,,,,
cpd11525[c],7-methyl-3-oxo-octanoyl-ACP,,C20H35N2O9PRS,-1,,,,,,
cpd11526[c],7-methyl-3-hydroxy-octanoyl-ACP,,C20H37N2O9PRS,-1,,,,,,
cpd11527[c],7-methyl-trans-oct-2-enoyl-ACP,,C20H35N2O8PRS,-1,,,,,,
cpd11528[c],7-methyl-octanoyl-ACP,,C20H37N2O8PRS,-1,,,,,,
cpd11529[c],9-methyl-3-oxo-decanoyl-ACP,,C22H39N2O9PRS,-1,,,,,,
cpd11530[c],9-methyl-3-hydroxy-decanoyl-ACP,,C22H41N2O9PRS,-1,,,,,,
cpd11531[c],9-methyl-trans-dec-2-enoyl-ACP,,C22H39N2O8PRS,-1,,,,,,
cpd11532[c],9-methyl-decanoyl-ACP,,C22H41N2O8PRS,-1,,,,,,
cpd11533[c],11-methyl-3-oxo-dodecanoyl-ACP,,C24H43N2O9PRS,-1,,,,,,
cpd11534[c],11-methyl-3-hydroxy-dodecanoyl-ACP,,C24H45N2O9PRS,-1,,,,,,
cpd11535[c],11-methyl-trans-dodec-2-enoyl-ACP,,C24H43N2O8PRS,-1,,,,,,
cpd11536[c],11-methyl-dodecanoyl-ACP,,C24H45N2O8PRS,-1,,,,,,
cpd11537[c],13-methyl-3-oxo-tetra-decanoyl-ACP,,C26H47N2O9PRS,-1,,,,,,
cpd11538[c],13-methyl-3-hydroxy-tetra-decanoyl-ACP,,C26H49N2O9PRS,-1,,,,,,
cpd11539[c],13-methyl-trans-tetra-dec-2-enoyl-ACP,,C26H47N2O8PRS,-1,,,,,,
cpd11540[c],13-methyl-tetra-decanoyl-ACP,,C26H49N2O8PRS,-1,,,,,,
cpd11541[c],15-methyl-3-oxo-hexa-decanoyl-ACP,,C28H51N2O9PRS,-1,,,,,,
cpd11542[c],15-methyl-3-hydroxy-hexa-decanoyl-ACP,,C28H53N2O9PRS,-1,,,,,,
cpd11543[c],15-methyl-trans-hexa-dec-2-enoyl-ACP,,C28H51N2O8PRS,-1,,,,,,
cpd00481[c],Isobutyryl-CoA,,C25H39N7O17P3S,-3,,C00630,,,,
cpd11545[c],isobutyryl-ACP,,C15H27N2O8PRS,-1,,,,,,
cpd11546[c],4-methyl-3-oxo-pentanoyl-ACP,,C17H29N2O9PRS,-1,,,,,,
cpd11547[c],4-methyl-3-hydroxy-pentanoyl-ACP,,C17H31N2O9PRS,-1,,,,,,
cpd11548[c],4-methyl-trans-pent-2-enoyl-ACP,,C17H29N2O8PRS,-1,,,,,,
cpd11549[c],4-methyl-pentanoyl-ACP,,C17H31N2O8PRS,-1,,,,,,
cpd11550[c],6-methyl-3-oxo-heptanoyl-ACP,,C19H33N2O9PRS,-1,,,,,,
cpd11551[c],6-methyl-3-hydroxy-heptanoyl-ACP,,C19H35N2O9PRS,-1,,,,,,
cpd11552[c],6-methyl-trans-hept-2-enoyl-ACP,,C19H33N2O8PRS,-1,,,,,,
cpd11553[c],6-methyl-heptanoyl-ACP,,C19H35N2O8PRS,-1,,,,,,
cpd11554[c],8-methyl-3-oxo-nonanoyl-ACP,,C21H37N2O9PRS,-1,,,,,,
cpd11555[c],8-methyl-3-hydroxy-nonanoyl-ACP,,C21H39N2O9PRS,-1,,,,,,
cpd11556[c],8-methyl-trans-non-2-enoyl-ACP,,C21H37N2O8PRS,-1,,,,,,
cpd11557[c],8-methyl-nonanoyl-ACP,,C21H39N2O8PRS,-1,,,,,,
cpd11558[c],10-methyl-3-oxo-undecanoyl-ACP,,C23H41N2O9PRS,-1,,,,,,
cpd11559[c],10-methyl-3-hydroxy-undecanoyl-ACP,,C23H43N2O9PRS,-1,,,,,,
cpd11560[c],10-methyl-trans-undec-2-enoyl-ACP,,C23H41N2O8PRS,-1,,,,,,
cpd11561[c],10-methyl-undecanoyl-ACP,,C23H43N2O8PRS,-1,,,,,,
cpd11562[c],12-methyl-3-oxo-tridecanoyl-ACP,,C25H45N2O9PRS,-1,,,,,,
cpd11563[c],12-methyl-3-hydroxy-tridecanoyl-ACP,,C25H47N2O9PRS,-1,,,,,,
cpd11564[c],12-methyl-trans-tridec-2-enoyl-ACP,,C25H45N2O8PRS,-1,,,,,,
cpd11565[c],12-methyl-tridecanoyl-ACP,,C25H47N2O8PRS,-1,,,,,,
cpd11566[c],14-methyl-3-oxo-pentadecanoyl-ACP,,C27H49N2O9PRS,-1,,,,,,
cpd11567[c],14-methyl-3-hydroxy-pentadecanoyl-ACP,,C27H51N2O9PRS,-1,,,,,,
cpd11568[c],14-methyl-trans-pentadec-2-enoyl-ACP,,C27H49N2O8PRS,-1,,,,,,
cpd11519[c],14-methyl-hexa-decanoyl-ACP,,C28H53N2O8PRS,-1,,,,,,
cpd11544[c],15-methyl-hexa-decanoyl-ACP,,C28H53N2O8PRS,-1,,,,,,
cpd11569[c],14-methyl-pentadecanoyl-ACP,,C27H51N2O8PRS,-1,,,,,,
cpd11573[c],Octodecanoyl-ACP,,C29H55N2O8PRS,-1,,,,,,
cpd00327[c],strcoa,,C39H67N7O17P3S,-3,,C00412,,,,
cpd11570[c],3-Oxooctodecanoyl-ACP,,C29H53N2O9PRS,-1,,,,,,
cpd11571[c],3-Hydroxyoctodecanoyl-ACP,,C29H55N2O9PRS,-1,,,,,,
cpd11572[c],trans-Octodec-2-enoyl-ACP,,C29H53N2O8PRS,-1,,,,,,
cpd03847[c],Myristic_acid,,C14H27O2,-1,,C06424,,,,
cpd01260[c],Lauroyl-CoA,,C33H55N7O17P3S,-3,,C01832,,,,
cpd12689[c],3-Oxotetradecanoyl-CoA,,C35H57N7O18P3S,-3,,C05261,,,,
cpd15325[c],1-dodecanoyl-sn-glycerol_3-phosphate,,C15H30O7P,-1,,,,,,
cpd15521[c],"1,2-didodecanoyl-sn-glycerol_3-phosphate",,C27H52O8P,-1,,,,,,
cpd15331[c],1-tetradecanoyl-sn-glycerol_3-phosphate,,C17H34O7P,-1,,,,,,
cpd15522[c],"1,2-ditetradecanoyl-sn-glycerol_3-phosphate",,C31H60O8P,-1,,,,,,
cpd15330[c],1-tetradec-7-enoyl-sn-glycerol_3-phosphate,,C17H32O7P,-1,,,,,,
cpd15523[c],"1,2-ditetradec-7-enoyl-sn-glycerol_3-phosphate",,C31H56O8P,-1,,,,,,
cpd15327[c],1-hexadecanoyl-sn-glycerol_3-phosphate,,C19H38O7P,-1,,,,,,
cpd15329[c],1-octadecanoyl-sn-glycerol_3-phosphate,,C21H42O7P,-1,,,,,,
cpd15526[c],"1,2-dioctadecanoyl-sn-glycerol_3-phosphate",,C39H76O8P,-1,,,,,,
cpd15306[c],"1,2-Diacyl-sn-glycerol_didodecanoyl",,C27H52O5,0,,,,,,
cpd15307[c],"1,2-Diacyl-sn-glycerol_ditetradecanoyl",,C31H60O5,0,,,,,,
cpd15308[c],"1,2-Diacyl-sn-glycerol_ditetradec-7-enoyl",,C31H56O5,0,,,,,,
cpd15309[c],"1,2-Diacyl-sn-glycerol_dihexadecanoyl",,C35H68O5,0,,,,,,
cpd15310[c],"1,2-Diacyl-sn-glycerol_dihexadec-9-enoyl",,C35H64O5,0,,,,,,
cpd15311[c],"1,2-Diacyl-sn-glycerol_dioctadecanoyl",,C39H76O5,0,,,,,,
cpd15312[c],"1,2-Diacyl-sn-glycerol_dioctadec-11-enoyl",,C39H72O5,0,,,,,,
cpd15417[c],"CDP-1,2-didodecanoylglycerol",,C36H63N3O15P2,-2,,,,,,
cpd15423[c],"CDP-1,2-ditetradecanoylglycerol",,C40H71N3O15P2,-2,,,,,,
cpd15422[c],"CDP-1,2-ditetradec-7-enoylglycerol",,C40H67N3O15P2,-2,,,,,,
cpd15421[c],"CDP-1,2-dioctadecanoylglycerol",,C48H87N3O15P2,-2,,,,,,
cpd02090[c],Glycerophosphoglycerol,,C6H14O8P,-1,,C03274,,,,
cpd15542[c],Phosphatidylglycerophosphate_didodecanoyl,,C30H58O13P2,-2,,,,,,
cpd15535[c],Phosphatidylglycerol_didodecanoyl,,C30H58O10P,-1,,,,,,
cpd15543[c],Phosphatidylglycerophosphate_ditetradecanoyl,,C34H66O13P2,-2,,,,,,
cpd15536[c],Phosphatidylglycerol_ditetradecanoyl,,C34H66O10P,-1,,,,,,
cpd15544[c],Phosphatidylglycerophosphate_ditetradec-7-enoyl,,C34H62O13P2,-2,,,,,,
cpd15537[c],Phosphatidylglycerol_ditetradec-7-enoyl,,C34H62O10P,-1,,,,,,
cpd15545[c],Phosphatidylglycerophosphate_dihexadecanoyl,,C38H74O13P2,-2,,,,,,
cpd15538[c],Phosphatidylglycerol_dihexadecanoyl,,C38H74O10P,-1,,,,,,
cpd15546[c],Phosphatidylglycerophosphate_dihexadec-9-enoyl,,C38H70O13P2,-2,,,,,,
cpd15539[c],Phosphatidylglycerol_dihexadec-9-enoyl,,C38H70O10P,-1,,,,,,
cpd15547[c],Phosphatidylglycerophosphate_dioctadecanoyl,,C42H82O13P2,-2,,,,,,
cpd15540[c],Phosphatidylglycerol_dioctadecanoyl,,C42H82O10P,-1,,,,,,
cpd15548[c],Phosphatidylglycerophosphate_dioctadec-11-enoyl,,C42H78O13P2,-2,,,,,,
cpd15541[c],Phosphatidylglycerol_dioctadec-11-enoyl,,C42H78O10P,-1,,,,,,
cpd15552[c],phosphatidylserine_didodecanoyl,,C30H56NO10P,-2,,,,,,
cpd15528[c],phosphatidylethanolamine_didodecanoyl,,C29H58NO8P,0,,,,,,
cpd15553[c],phosphatidylserine_ditetradecanoyl,,C34H64NO10P,-2,,,,,,
cpd15529[c],phosphatidylethanolamine_ditetradecanoyl,,C33H66NO8P,0,,,,,,
cpd15554[c],phosphatidylserine_ditetradec-7-enoyl,,C34H60NO10P,-2,,,,,,
cpd15530[c],phosphatidylethanolamine_ditetradec-7-enoyl,,C33H62NO8P,0,,,,,,
cpd15557[c],phosphatidylserine_dioctadecanoyl,,C42H80NO10P,-2,,,,,,
cpd15533[c],phosphatidylethanolamine_dioctadecanoyl,,C41H82NO8P,0,,,,,,
cpd15269[c],octadecenoate,,C18H33O2,-1,,,,,,
cpd15274[c],Octadecenoyl-CoA,,C39H65N7O17P3S,-3,,,,,,
cpd01080[c],ocdca,,C18H35O2,-1,,C01530,,,,
cpd15237[c],hexadecenoate,,C16H29O2,-1,,,,,,
cpd15238[c],Hexadecenoyl-CoA,,C37H61N7O17P3S,-3,,,,,,
cpd15671[c],1-isoheptadecanoyl-sn-glycerol_3-phosphate,,C20H40O7P,-1,,,,,,
cpd15672[c],1-anteisoheptadecanoyl-sn-glycerol_3-phosphate,,C20H40O7P,-1,,,,,,
cpd15673[c],1-isotetradecanoyl-sn-glycerol_3-phosphate,,C17H34O7P,-1,,,,,,
cpd15674[c],1-isopentadecanoyl-sn-glycerol_3-phosphate,,C18H36O7P,-1,,,,,,
cpd15675[c],1-anteisopentadecanoyl-sn-glycerol_3-phosphate,,C18H36O7P,-1,,,,,,
cpd15676[c],1-isohexadecanoyl-sn-glycerol_3-phosphate,,C19H38O7P,-1,,,,,,
cpd15677[c],"1,2-diisoheptadecanoyl-sn-glycerol_3-phosphate",,C37H72O8P,-1,,,,,,
cpd15678[c],"1,2-dianteisoheptadecanoyl-sn-glycerol_3-phosphate",,C37H72O8P,-1,,,,,,
cpd15679[c],"1,2-diisotetradecanoyl-sn-glycerol_3-phosphate",,C31H60O8P,-1,,,,,,
cpd15680[c],"1,2-diisopentadecanoyl-sn-glycerol_3-phosphate",,C33H64O8P,-1,,,,,,
cpd15681[c],"1,2-dianteisopentadecanoyl-sn-glycerol_3-phosphate",,C33H64O8P,-1,,,,,,
cpd15682[c],"1,2-diisohexadecanoyl-sn-glycerol_3-phosphate",,C35H68O8P,-1,,,,,,
cpd15683[c],"CDP-1,2-diisoheptadecanoylglycerol",,C46H83N3O15P2,-2,,,,,,
cpd15684[c],"CDP-1,2-dianteisoheptadecanoylglycerol",,C46H83N3O15P2,-2,,,,,,
cpd15685[c],"CDP-1,2-diisotetradecanoylglycerol",,C40H71N3O15P2,-2,,,,,,
cpd15686[c],"CDP-1,2-diisopentadecanoylglycerol",,C42H75N3O15P2,-2,,,,,,
cpd15687[c],"CDP-1,2-dianteisopentadecanoylglycerol",,C42H75N3O15P2,-2,,,,,,
cpd15688[c],"CDP-1,2-diisohexadecanoylglycerol",,C44H79N3O15P2,-2,,,,,,
cpd15689[c],Diisoheptadecanoylphosphatidylserine,,C40H76NO10P,-2,,,,,,
cpd15690[c],Dianteisoheptadecanoylphosphatidylserine,,C40H76NO10P,-2,,,,,,
cpd15691[c],Diisotetradecanoylphosphatidylserine,,C34H64NO10P,-2,,,,,,
cpd15692[c],Diisopentadecanoylphosphatidylserine,,C36H68NO10P,-2,,,,,,
cpd15693[c],Dianteisopentadecanoylphosphatidylserine,,C36H68NO10P,-2,,,,,,
cpd15694[c],Diisohexadecanoylphosphatidylserine,,C38H72NO10P,-2,,,,,,
cpd15716[c],Diisoheptadecanoylphosphatidylglycerophosphate,,C40H78O13P2,-2,,,,,,
cpd15717[c],Dianteisoheptadecanoylphosphatidylglycerophosphate,,C40H78O13P2,-2,,,,,,
cpd15718[c],Diisotetradecanoylphosphatidylglycerophosphate,,C34H66O13P2,-2,,,,,,
cpd15719[c],Diisopentadecanoylphosphatidylglycerophosphate,,C36H70O13P2,-2,,,,,,
cpd15720[c],Dianteisopentadecanoylphosphatidylglycerophosphate,,C36H70O13P2,-2,,,,,,
cpd15721[c],Diisohexadecanoylphosphatidylglycerophosphate,,C38H74O13P2,-2,,,,,,
cpd15722[c],Diisoheptadecanoylphosphatidylglycerol,,C40H78O10P,-1,,,,,,
cpd15723[c],Dianteisoheptadecanoylphosphatidylglycerol,,C40H78O10P,-1,,,,,,
cpd15724[c],Diisotetradecanoylphosphatidylglycerol,,C34H66O10P,-1,,,,,,
cpd15725[c],Diisopentadecanoylphosphatidylglycerol,,C36H70O10P,-1,,,,,,
cpd15726[c],Dianteisopentadecanoylphosphatidylglycerol,,C36H70O10P,-1,,,,,,
cpd15727[c],Diisohexadecanoylphosphatidylglycerol,,C38H74O10P,-1,,,,,,
cpd15791[c],Palmitoylcardiolipin_(B. subtilis),,C73H140O17P2,-2,,,,,,
cpd15792[c],Myristoylcardiolipin_(B. subtilis),,C65H124O17P2,-2,,,,,,
cpd15793[c],Stearoylcardiolipin_(B. subtilis),,C81H156O17P2,-2,,,,,,
cpd15794[c],Isoheptadecanoylcardiolipin_(B. subtilis),,C77H148O17P2,-2,,,,,,
cpd15795[c],Anteisoheptadecanoylcardiolipin_(B. subtilis),,C77H148O17P2,-2,,,,,,
cpd15796[c],Isotetradecanoylcardiolipin_(B. subtilis),,C65H124O17P2,-2,,,,,,
cpd15797[c],Isopentadecanoylcardiolipin_(B. subtilis),,C69H132O17P2,-2,,,,,,
cpd15798[c],Anteisopentadecanoylcardiolipin_(B. subtilis),,C69H132O17P2,-2,,,,,,
cpd15799[c],Isohexadecanoylcardiolipin_(B. subtilis),,C73H140O17P2,-2,,,,,,
cpd15695[c],Diisoheptadecanoylphosphatidylethanolamine,,C39H78NO8P,0,,,,,,
cpd15696[c],Dianteisoheptadecanoylphosphatidylethanolamine,,C39H78NO8P,0,,,,,,
cpd15697[c],Diisotetradecanoylphosphatidylethanolamine,,C33H66NO8P,0,,,,,,
cpd15698[c],Diisopentadecanoylphosphatidylethanolamine,,C35H70NO8P,0,,,,,,
cpd15699[c],Dianteisopentadecanoylphosphatidylethanolamine,,C35H70NO8P,0,,,,,,
cpd15700[c],Diisohexadecanoylphosphatidylethanolamine,,C37H74NO8P,0,,,,,,
cpd15701[c],"1,2-Diisoheptadecanoyl-sn-glycerol",,C37H72O5,0,,,,,,
cpd15702[c],"1,2-Dianteisoheptadecanoyl-sn-glycerol",,C37H72O5,0,,,,,,
cpd15703[c],"1,2-Diisotetradecanoyl-sn-glycerol",,C31H60O5,0,,,,,,
cpd15704[c],"1,2-Diisopentadecanoyl-sn-glycerol",,C33H64O5,0,,,,,,
cpd15705[c],"1,2-Dianteisopentadecanoyl-sn-glycerol",,C33H64O5,0,,,,,,
cpd15706[c],"1,2-Diisohexadecanoyl-sn-glycerol",,C35H68O5,0,,,,,,
cpd00221[e],D-Lactate,,C3H5O3,0,,C00256,,,,
cpd00079[e],D-glucose-6-phosphate,,C6H12O9P,0,,C00668|C00092,,,,
cpd00588[e],Sorbitol,,C6H14O6,0,,,,,,
cpd00588[c],Sorbitol,,C6H14O6,0,,,,,,
cpd00121[e],L-Inositol,,C6H12O6,0,,,,,,
cpd00121[c],L-Inositol,,C6H12O6,0,,,,,,
cpd00851[e],trans-4-Hydroxy-L-proline,,C5H8NO3,-1,,,,,,
cpd00851[c],trans-4-Hydroxy-L-proline,,C5H8NO3,-1,,,,,,
cpd00489[e],4-Hydroxyphenylacetate,,C8H7O3,0,,C13636|C00642,,,,
cpd00072[e],D-fructose-6-phosphate,,C6H12O9P,0,,C05345|C00085,,,,
cpd01502[e],Citraconate,,C5H4O4,-2,,C02226,,,,
cpd01502[c],Citraconate,,C5H4O4,-2,,C02226,,,,
cpd01293[e],5-Oxoproline,,C5H6NO3,-1,,C01879,,,,
cpd01293[c],5-Oxoproline,,C5H6NO3,-1,,C01879,,,,
cpd00666[e],Tartrate,,C4H4O6,-2,,C00898|C02107,,,,
cpd00666[c],Tartrate,,C4H4O6,-2,,C00898|C02107,,,,
cpd00089[e],Glycolate,,C2H3O3,0,,C00160,,,,
cpd00139[e],Glycolate,,C2H3O3,0,,C00160,,,,
cpd00179[e],Maltose,,C12H22O11,0,,C00208,,,,
cpd00224[e],L-Arabinose,,C5H10O5,0,,,,,,
cpd00224[c],L-Arabinose,,C5H10O5,0,,,,,,
cpd00268[e],H2S2O3,,O3S2,0,,C05529|C00320,,,,
cpd03424[e],Vitamin_B12,,C61H86CoN13O14PR,6,,,,,,
cpd03424[c],Vitamin_B12,,C61H86CoN13O14PR,6,,,,,,
cpd00367[e],Cytidine,,C9H13N3O5,0,,C00475,,,,
cpd00249[e],Uridine,,C9H12N2O6,0,,C00299,,,,
cpd00184[e],Thymidine,,C10H14N2O5,0,,C00214,,,,
cpd00226[e],HYXN,,C5H4N4O,0,,C00262,,,,
cpd00654[e],Deoxycytidine,,C9H13N3O4,0,,C00881,,,,
cpd00246[e],Inosine,,C10H12N4O5,0,,C00294,,,,
cpd00438[e],Deoxyadenosine,,C10H13N5O3,0,,C00559,,,,
cpd00182[e],Adenosine,,C10H13N5O4,0,,C00212,,,,
cpd00142[e],Acetoacetate,,C4H5O3,0,,C00164,,,,
cpd00122[e],N-Acetyl-D-glucosamine,,C8H15NO6,0,,,,,,
cpd00423[e],Vitamin_B12r,,C62H89CoN13O14P,1,,,,,,
cpd00423[c],Vitamin_B12r,,C62H89CoN13O14P,1,,,,,,
cpd11595[c],chromate_H2O4Cr,,,-2,,,,,,
cpd11595[e],chromate_H2O4Cr,,,-2,,,,,,
cpd11593[e],ala-L-asp-L,,C7H11N2O5,-1,,,,,,
cpd11593[c],ala-L-asp-L,,C7H11N2O5,-1,,,,,,
cpd11592[e],gly-glu-L,,C7H11N2O5,-1,,,,,,
cpd11592[c],gly-glu-L,,C7H11N2O5,-1,,,,,,
cpd11591[e],Gly-Met,,C7H14N2O3S,0,,,,,,
cpd11591[c],Gly-Met,,C7H14N2O3S,0,,,,,,
cpd11590[e],met-L-ala-L,,C8H15N2O3S,-1,,,,,,
cpd11590[c],met-L-ala-L,,C8H15N2O3S,-1,,,,,,
cpd11589[e],gly-asp-L,,C6H9N2O5,-1,,,,,,
cpd11589[c],gly-asp-L,,C6H9N2O5,-1,,,,,,
cpd11588[e],gly-pro-L,,C7H12N2O3,0,,,,,,
cpd11588[c],gly-pro-L,,C7H12N2O3,0,,,,,,
cpd01017[e],Cys-Gly,,C5H10N2O3S,0,,,,,,
cpd01017[c],Cys-Gly,,C5H10N2O3S,0,,,,,,
